conversation_id	static_match_percent	keyword_overlap	freshness_gain	notes
conv_000	N/A	Low	Low	Auto-generated estimates
conv_001	N/A	Low	Low	Auto-generated estimates
conv_002	N/A	Medium	Medium	Auto-generated estimates
conv_003	N/A	Medium	High	Auto-generated estimates
conv_004	N/A	Low	Low	Auto-generated estimates
conv_005	N/A	High	High	Auto-generated estimates
conv_006	N/A	High	High	Auto-generated estimates
conv_007	N/A	Medium	High	Auto-generated estimates
conv_008	N/A	Medium	High	Auto-generated estimates
conv_009	N/A	Low	Low	Auto-generated estimates
conv_010	N/A	High	High	Auto-generated estimates
conv_011	N/A	Low	Low	Auto-generated estimates
conv_012	N/A	Low	Low	Auto-generated estimates
conv_013	N/A	High	High	Auto-generated estimates
conv_014	N/A	Low	Low	Auto-generated estimates
conv_015	N/A	Medium	Medium	Auto-generated estimates
conv_016	N/A	Medium	High	Auto-generated estimates
conv_017	N/A	High	High	Auto-generated estimates
conv_018	N/A	Low	High	Auto-generated estimates
conv_019	N/A	Low	High	Auto-generated estimates
conv_020	N/A	Medium	Low	Auto-generated estimates
conv_021	N/A	Low	High	Auto-generated estimates
conv_022	N/A	Low	Low	Auto-generated estimates
conv_023	N/A	Low	Low	Auto-generated estimates
conv_024	N/A	Low	Low	Auto-generated estimates
conv_025	N/A	Medium	High	Auto-generated estimates
conv_026	N/A	Medium	High	Auto-generated estimates
conv_027	N/A	Low	Low	Auto-generated estimates
conv_028	N/A	Low	Low	Auto-generated estimates
conv_029	N/A	Low	Low	Auto-generated estimates
conv_030	N/A	Medium	High	Auto-generated estimates
conv_031	N/A	Low	Low	Auto-generated estimates
conv_032	N/A	Low	Low	Auto-generated estimates
conv_033	N/A	Low	Low	Auto-generated estimates
conv_034	N/A	Medium	High	Auto-generated estimates
conv_035	N/A	Low	High	Auto-generated estimates
conv_036	N/A	High	High	Auto-generated estimates
conv_037	N/A	Medium	High	Auto-generated estimates
conv_038	N/A	High	High	Auto-generated estimates
conv_039	N/A	Medium	Medium	Auto-generated estimates
conv_040	N/A	High	High	Auto-generated estimates
conv_041	N/A	Low	High	Auto-generated estimates
conv_042	N/A	High	High	Auto-generated estimates
conv_043	N/A	Medium	Medium	Auto-generated estimates
conv_044	N/A	Low	Low	Auto-generated estimates
conv_045	N/A	Medium	High	Auto-generated estimates
conv_046	N/A	Medium	High	Auto-generated estimates
conv_047	N/A	Low	Low	Auto-generated estimates
conv_048	N/A	Medium	High	Auto-generated estimates
conv_049	N/A	Medium	Medium	Auto-generated estimates
conv_050	N/A	Low	High	Auto-generated estimates
conv_051	N/A	High	High	Auto-generated estimates
conv_052	N/A	Low	High	Auto-generated estimates
conv_053	N/A	Low	Low	Auto-generated estimates
conv_054	N/A	Low	Low	Auto-generated estimates
conv_055	N/A	Medium	High	Auto-generated estimates
conv_056	N/A	Low	Low	Auto-generated estimates
conv_057	N/A	Medium	High	Auto-generated estimates
conv_058	N/A	Low	Low	Auto-generated estimates
conv_059	N/A	Low	High	Auto-generated estimates
conv_060	N/A	Low	Low	Auto-generated estimates
conv_061	N/A	Low	Low	Auto-generated estimates
conv_062	N/A	Low	High	Auto-generated estimates
conv_063	N/A	Low	Low	Auto-generated estimates
conv_064	N/A	Low	Low	Auto-generated estimates
conv_065	N/A	Low	Low	Auto-generated estimates
conv_066	N/A	Medium	High	Auto-generated estimates
conv_067	N/A	Medium	High	Auto-generated estimates
conv_068	N/A	High	High	Auto-generated estimates
conv_069	N/A	Medium	Low	Auto-generated estimates
conv_070	N/A	Medium	High	Auto-generated estimates
conv_071	N/A	Medium	High	Auto-generated estimates
conv_072	N/A	Low	Low	Auto-generated estimates
conv_073	N/A	High	Medium	Auto-generated estimates
conv_074	N/A	Medium	High	Auto-generated estimates
conv_075	N/A	Low	Low	Auto-generated estimates
conv_076	N/A	Medium	Low	Auto-generated estimates
conv_077	N/A	High	Medium	Auto-generated estimates
conv_078	N/A	Low	High	Auto-generated estimates
conv_079	N/A	Low	Low	Auto-generated estimates
conv_080	N/A	Low	Low	Auto-generated estimates
conv_081	N/A	High	High	Auto-generated estimates
conv_082	N/A	Low	Low	Auto-generated estimates
conv_083	N/A	Medium	High	Auto-generated estimates
conv_084	N/A	Low	Low	Auto-generated estimates
conv_085	N/A	Low	Low	Auto-generated estimates
conv_086	N/A	High	High	Auto-generated estimates
conv_087	N/A	Low	High	Auto-generated estimates
conv_088	N/A	Low	Low	Auto-generated estimates
conv_089	N/A	Low	Low	Auto-generated estimates
conv_090	N/A	High	High	Auto-generated estimates
conv_091	N/A	Low	Low	Auto-generated estimates
conv_092	N/A	Medium	Low	Auto-generated estimates
conv_093	N/A	High	Medium	Auto-generated estimates
conv_094	N/A	High	High	Auto-generated estimates
conv_095	N/A	Medium	Medium	Auto-generated estimates
conv_096	N/A	High	High	Auto-generated estimates
conv_097	N/A	Medium	Low	Auto-generated estimates
conv_098	N/A	Low	Low	Auto-generated estimates
conv_099	N/A	High	Medium	Auto-generated estimates
